import time: self [us] | cumulative | imported package
import time:      2180 |       2180 |                     pandas._libs.window.indexers
import time:      1414 |       3593 |                   pandas.core.indexers.objects
import time:      1285 |       1285 |                   pandas.core.window.common
import time:      1475 |       1475 |                   pandas.core.window.numba_
import time:       999 |        999 |                   pandas.core.window.online
import time:      2108 |       2108 |                   pandas.core.window.rolling
import time:      1670 |      18668 |                 pandas.core.window.ewm
import time:      1080 |       1080 |                 pandas.core.window.expanding
import time:      1458 |      21205 |               pandas.core.window
import time:      3347 |     117533 |             pandas.core.generic
import time:      1248 |       1248 |             pandas.core.internals.construction
import time:      1201 |       1201 |             pandas.core.methods.selectn
import time:      1188 |       1188 |               pandas.core.tools.numeric
import time:      1137 |       2325 |             pandas.core.reshape.melt
import time:      2354 |       2354 |               pandas._libs.reshape
import time:      1512 |       1512 |               pandas.core.indexes.accessors
import time:      1502 |       1502 |                 pandas.arrays
import time:      1771 |       3272 |               pandas.core.tools.datetimes
import time:      1403 |       1403 |               pandas.io.formats.info
import time:      1412 |       1412 |                 pandas.plotting._core
import time:      1053 |       1053 |                 pandas.plotting._misc
import time:      1890 |       4354 |               pandas.plotting
import time:      5018 |      17911 |             pandas.core.series
import time:      6736 |     148595 |           pandas.core.frame
import time:      1821 |       1821 |           pandas.core.groupby.base
import time:      4799 |       4799 |             pandas._libs.groupby
import time:      1536 |       1536 |             pandas.core.groupby.numba_
import time:       741 |        741 |                 pandas.core.groupby.categorical
import time:      1216 |       1957 |               pandas.core.groupby.grouper
import time:      1527 |       3483 |             pandas.core.groupby.ops
import time:      1116 |       1116 |             pandas.core.groupby.indexing
import time:      2558 |      13491 |           pandas.core.groupby.groupby
import time:      3248 |     178327 |         pandas.core.groupby.generic
import time:      1661 |     179987 |       pandas.core.groupby
import time:      1436 |     355165 |     pandas.core.api
import time:       887 |        887 |     pandas.tseries.api
import time:       896 |        896 |             pandas.core.computation.common
import time:      1284 |       2179 |           pandas.core.computation.align
import time:      1552 |       1552 |               pprint
import time:      1218 |       2769 |             pandas.core.computation.scope
import time:      1620 |       4389 |           pandas.core.computation.ops
import time:      1040 |       7607 |         pandas.core.computation.engines
import time:      2265 |       2265 |           pandas.core.computation.parsing
import time:      2763 |       5027 |         pandas.core.computation.expr
import time:       954 |      13588 |       pandas.core.computation.eval
import time:      1025 |      14613 |     pandas.core.computation.api
import time:      1171 |       1171 |       pandas.core.reshape.encoding
import time:      3584 |       3584 |           _uuid
import time:      1683 |       5266 |         uuid
import time:      2088 |       7354 |       pandas.core.reshape.merge
import time:      1458 |       1458 |       pandas.core.reshape.pivot
import time:      1253 |       1253 |       pandas.core.reshape.tile
import time:      1208 |      12442 |     pandas.core.reshape.api
import time:      1205 |       1205 |       pandas.api.executors
import time:      1482 |       1482 |       pandas.api.extensions
import time:      1025 |       1025 |       pandas.api.indexers
import time:      1433 |       1433 |           pandas.core.interchange
import time:      2144 |       3577 |         pandas.core.interchange.dataframe_protocol
import time:      1391 |       1391 |           pandas.core.interchange.utils
import time:      2822 |       4212 |         pandas.core.interchange.from_dataframe
import time:      1592 |       9380 |       pandas.api.interchange
import time:       826 |        826 |         pandas.core.dtypes.api
import time:      1540 |       2365 |       pandas.api.types
import time:      1954 |       1954 |         pandas.core.resample
import time:      1288 |       1288 |               pandas._libs.json
import time:      1706 |       1706 |               pandas.io.json._normalize
import time:      1637 |       1637 |               pandas.io.json._table_schema
import time:      4712 |       4712 |                     pandas._libs.parsers
import time:      1558 |       1558 |                       pandas.io.parsers.base_parser
import time:      1656 |       3214 |                     pandas.io.parsers.arrow_parser_wrapper
import time:      1286 |       1286 |                     pandas.io.parsers.c_parser_wrapper
import time:      1886 |       1886 |                     pandas.io.parsers.python_parser
import time:      2371 |      13467 |                   pandas.io.parsers.readers
import time:      1774 |      15241 |                 pandas.io.parsers
import time:        40 |      15281 |               pandas.io.parsers.readers
import time:      1922 |      21832 |             pandas.io.json._json
import time:      2085 |      23917 |           pandas.io.json
import time:        36 |      23952 |         pandas.io.json._json
import time:      1427 |       1427 |             pandas.io.sas.sasreader
import time:      1585 |       3011 |           pandas.io.sas
